step,epoch,train_loss,val_acc,val_loss,train_acc
7049,25,0.4027773439884186,,,
7097,25,,0.8571428656578064,0.4344055950641632,
7097,25,,,,0.877754807472229
7099,26,0.2990896701812744,,,
7149,26,0.48116207122802734,,,
7199,26,0.3029690384864807,,,
7249,26,0.4849548041820526,,,
7299,26,0.49143528938293457,,,
7349,26,0.28977781534194946,,,
7370,26,,0.8690859079360962,0.4090057611465454,
7370,26,,,,0.8779844045639038
7399,27,0.3622418940067291,,,
7449,27,0.40418028831481934,,,
7499,27,0.27921995520591736,,,
7549,27,0.26962408423423767,,,
7599,27,0.6326416730880737,,,
7643,27,,0.8741387128829956,0.39873552322387695,
7643,27,,,,0.8807392120361328
7649,28,0.3946041464805603,,,
7699,28,0.5231703519821167,,,
7749,28,0.2842935621738434,,,
7799,28,0.3310784101486206,,,
7849,28,0.6301805377006531,,,
7899,28,0.31690841913223267,,,
7916,28,,0.8709232807159424,0.38799670338630676,
7916,28,,,,0.8811983466148376
7949,29,0.5843472480773926,,,
7999,29,0.24056760966777802,,,
8049,29,0.3485485017299652,,,
8099,29,0.19369535148143768,,,
8149,29,0.26930227875709534,,,
8189,29,,0.8677078485488892,0.383582204580307,
8189,29,,,,0.8839531540870667
8199,30,0.37484291195869446,,,
8249,30,0.3950425386428833,,,
8299,30,0.2936750650405884,,,
8349,30,0.40871068835258484,,,
8399,30,0.48917561769485474,,,
8449,30,0.46547430753707886,,,
8462,30,,0.8750573992729187,0.37037238478660583,
8462,30,,,,0.881313145160675
8499,31,0.30115628242492676,,,
8549,31,0.2654649615287781,,,
8599,31,0.2751981019973755,,,
8649,31,0.26892685890197754,,,
8699,31,0.6211828589439392,,,
8735,31,,0.8741387128829956,0.3649216294288635,
8735,31,,,,0.8821166157722473
8749,32,0.2790273129940033,,,
8799,32,0.35550498962402344,,,
8849,32,0.397720605134964,,,
8899,32,0.449829638004303,,,
8949,32,0.32737505435943604,,,
8999,32,0.3326353430747986,,,
9008,32,,0.8732200264930725,0.35715773701667786,
9008,32,,,,0.8842975497245789
9049,33,0.3781292736530304,,,
9099,33,0.5126312971115112,,,
9149,33,0.3568641245365143,,,
9199,33,0.3593490421772003,,,
9249,33,0.39617955684661865,,,
9281,33,,0.8718419671058655,0.3574759066104889,
9281,33,,,,0.8863636255264282
9299,34,0.6212232112884521,,,
9349,34,0.30874499678611755,,,
9399,34,0.3996694087982178,,,
9449,34,0.352230966091156,,,
9499,34,0.18636244535446167,,,
9549,34,0.3050852417945862,,,
9554,34,,0.8727606534957886,0.35356107354164124,
9554,34,,,,0.8863636255264282
9599,35,0.4305340349674225,,,
9649,35,0.26507389545440674,,,
9699,35,0.18489350378513336,,,
9749,35,0.2958574593067169,,,
9799,35,0.37844422459602356,,,
9827,35,,0.8745980858802795,0.34725242853164673,
9827,35,,,,0.8912993669509888
9849,36,0.29119130969047546,,,
9899,36,0.6055925488471985,,,
9949,36,0.29518672823905945,,,
9999,36,0.25225555896759033,,,
10049,36,0.23768675327301025,,,
10099,36,0.33569949865341187,,,
10100,36,,0.8778135180473328,0.3390365540981293,
10100,36,,,,0.8887740969657898
10149,37,0.46338412165641785,,,
10199,37,0.20751120150089264,,,
10249,37,0.4729915261268616,,,
10299,37,0.29019469022750854,,,
10349,37,0.32598453760147095,,,
10373,37,,0.8778135180473328,0.3370841443538666,
10373,37,,,,0.8904958963394165
10399,38,0.2538768947124481,,,
10449,38,0.27624982595443726,,,
10499,38,0.4362199902534485,,,
10549,38,0.22799593210220337,,,
10599,38,0.21709467470645905,,,
10646,38,,0.8778135180473328,0.3328585624694824,
10646,38,,,,0.888314962387085
10649,39,0.18683171272277832,,,
10699,39,0.22549723088741302,,,
10749,39,0.4460913836956024,,,
10799,39,0.1968124955892563,,,
10849,39,0.3827084004878998,,,
10899,39,0.5071896910667419,,,
10919,39,,0.880569577217102,0.3295786678791046,
10919,39,,,,0.8931359052658081
10949,40,0.32589051127433777,,,
10999,40,0.27390116453170776,,,
11049,40,0.19953149557113647,,,
11099,40,0.391871839761734,,,
11149,40,0.3539464473724365,,,
11192,40,,0.881028950214386,0.32548394799232483,
11192,40,,,,0.8900367021560669
11199,41,0.49734848737716675,,,
11249,41,0.261035680770874,,,
11299,41,0.34768861532211304,,,
11349,41,0.34680265188217163,,,
11399,41,0.2731703817844391,,,
11449,41,0.25004079937934875,,,
11465,41,,0.8782728314399719,0.32496577501296997,
11465,41,,,,0.8923324346542358
11499,42,0.14508621394634247,,,
11549,42,0.18652276694774628,,,
11599,42,0.25734540820121765,,,
11649,42,0.432195246219635,,,
11699,42,0.25136828422546387,,,
11738,42,,0.8833256959915161,0.32264289259910583,
11738,42,,,,0.8929063081741333
11749,43,0.35181254148483276,,,
11799,43,0.39854001998901367,,,
11849,43,0.3935624659061432,,,
11899,43,0.6381292939186096,,,
11949,43,0.49507826566696167,,,
11999,43,0.199812650680542,,,
12011,43,,0.879650890827179,0.3240935504436493,
12011,43,,,,0.8919880390167236
12049,44,0.25383225083351135,,,
12099,44,0.2054147571325302,,,
12149,44,0.47719690203666687,,,
12199,44,0.24047526717185974,,,
12249,44,0.5134666562080383,,,
12284,44,,0.8801102638244629,0.32306334376335144,
12284,44,,,,0.8934802412986755
12299,45,0.17725789546966553,,,
12349,45,0.271211177110672,,,
12399,45,0.22823002934455872,,,
12449,45,0.16271375119686127,,,
12499,45,0.29581645131111145,,,
12549,45,0.4193573594093323,,,
12557,45,,0.8819476366043091,0.3179328441619873,
12557,45,,,,0.8949724435806274
12599,46,0.39928382635116577,,,
12649,46,0.23409849405288696,,,
12699,46,0.15719972550868988,,,
12749,46,0.15400448441505432,,,
12799,46,0.224662646651268,,,
12830,46,,0.8833256959915161,0.3166608512401581,
12830,46,,,,0.8937098383903503
12849,47,0.09063149243593216,,,
12899,47,0.3180917203426361,,,
12949,47,0.3154087960720062,,,
12999,47,0.3572390079498291,,,
13049,47,0.2268654853105545,,,
13099,47,0.4372912049293518,,,
13103,47,,0.8819476366043091,0.3177802264690399,
13103,47,,,,0.8922176361083984
13149,48,0.22399424016475677,,,
13199,48,0.20211109519004822,,,
13249,48,0.24825382232666016,,,
13299,48,0.14499881863594055,,,
13349,48,0.3855993151664734,,,
13376,48,,0.8842443823814392,0.3153992295265198,
13376,48,,,,0.8945133090019226
13399,49,0.32180294394493103,,,
13449,49,0.19905857741832733,,,
13499,49,0.7211654186248779,,,
13549,49,0.35033464431762695,,,
13599,49,0.5937530398368835,,,
13649,49,0.43639886379241943,,,
13649,49,,0.8851630687713623,0.310420960187912,
13649,49,,,,0.8930211067199707
13699,50,0.4653085470199585,,,
13749,50,0.2132032960653305,,,
13799,50,0.3013263940811157,,,
13849,50,0.2999652326107025,,,
13899,50,0.2598356008529663,,,
13922,50,,0.8782728314399719,0.32596948742866516,
13922,50,,,,0.8950872421264648
13949,51,0.14896415174007416,,,
13999,51,0.2943010628223419,,,
14049,51,0.30648982524871826,,,
14099,51,0.32196059823036194,,,
14149,51,0.5089237093925476,,,
14195,51,,0.8819476366043091,0.316130667924881,
14195,51,,,,0.8947429060935974
14199,52,0.19603855907917023,,,
14249,52,0.178749218583107,,,
14299,52,0.44255757331848145,,,
14349,52,0.19552691280841827,,,
14399,52,0.2335297018289566,,,
14449,52,0.2235754281282425,,,
14468,52,,0.882407009601593,0.3086327016353607,
14468,52,,,,0.8961203098297119
14499,53,0.4501822888851166,,,
14549,53,0.24494190514087677,,,
14599,53,0.4513552188873291,,,
14649,53,0.2643906772136688,,,
14699,53,0.11428199708461761,,,
14741,53,,0.8801102638244629,0.30833590030670166,
14741,53,,,,0.8954315781593323
14749,54,0.15345631539821625,,,
14799,54,0.13516050577163696,,,
14849,54,0.3389858603477478,,,
14899,54,0.41413241624832153,,,
14949,54,0.6137067675590515,,,
14999,54,0.34247472882270813,,,
15014,54,,0.8851630687713623,0.3052532970905304,
15014,54,,,,0.8953167796134949
15049,55,0.2569682002067566,,,
15099,55,0.17180411517620087,,,
15149,55,0.3997117877006531,,,
15199,55,0.197578564286232,,,
15249,55,0.556269645690918,,,
15287,55,,0.8814882636070251,0.3158205449581146,
15287,55,,,,0.8955463767051697
15299,56,0.2090599089860916,,,
15349,56,0.22672328352928162,,,
15399,56,0.2127041071653366,,,
15449,56,0.6061909198760986,,,
15499,56,0.17123600840568542,,,
15549,56,0.3076950013637543,,,
15560,56,,0.8837850093841553,0.30591249465942383,
15560,56,,,,0.8956611752510071
15599,57,0.2990929186344147,,,
15649,57,0.30587583780288696,,,
15699,57,0.3222886621952057,,,
15749,57,0.43099287152290344,,,
15799,57,0.13231390714645386,,,
15833,57,,0.8888378739356995,0.3050647974014282,
